datetime,open,high,low,close,volume
2024-11-14 01:00:00,0.5723,0.5791,0.5678,0.5772,8363633.6
2024-11-14 02:00:00,0.5773,0.5822,0.5702,0.5748,8870634.1
2024-11-14 03:00:00,0.5748,0.5759,0.5635,0.5727,13754571.3
2024-11-14 04:00:00,0.5725,0.5748,0.5653,0.5746,7985552.5
2024-11-14 05:00:00,0.5745,0.578,0.5709,0.5774,6053543.6
2024-11-14 06:00:00,0.5773,0.597,0.5716,0.5716,19887324.0
2024-11-14 07:00:00,0.5716,0.5816,0.5662,0.581,11076112.0
2024-11-14 08:00:00,0.581,0.5834,0.5757,0.5791,10964337.7
2024-11-14 09:00:00,0.5791,0.5814,0.5722,0.5788,6801676.5
2024-11-14 10:00:00,0.5788,0.582,0.5661,0.5666,11275298.6
2024-11-14 11:00:00,0.5667,0.5693,0.5565,0.5679,16451174.2
2024-11-14 12:00:00,0.5678,0.5689,0.5625,0.5673,9639356.9
2024-11-14 13:00:00,0.5672,0.5723,0.561,0.5624,14374854.2
2024-11-14 14:00:00,0.5623,0.5734,0.5441,0.5457,34157264.0
2024-11-14 15:00:00,0.5456,0.5545,0.5417,0.5482,21085740.2
2024-11-14 16:00:00,0.548,0.5598,0.5463,0.5576,15323278.1
2024-11-14 17:00:00,0.5576,0.5588,0.5533,0.5572,9043008.9
2024-11-14 18:00:00,0.5571,0.5622,0.554,0.5563,11401586.1
2024-11-14 19:00:00,0.5564,0.5652,0.5558,0.565,9937183.6
2024-11-14 20:00:00,0.5651,0.5683,0.5565,0.559,9634044.9
2024-11-14 21:00:00,0.5589,0.5849,0.5558,0.5813,24477807.3
2024-11-14 22:00:00,0.5814,0.6,0.5714,0.5783,38206702.4
2024-11-14 23:00:00,0.5783,0.5865,0.5679,0.5792,25225097.6
2024-11-15 00:00:00,0.579,0.5955,0.5775,0.5825,24576766.8
2024-11-15 01:00:00,0.5825,0.594,0.5747,0.5905,20801152.9
2024-11-15 02:00:00,0.5903,0.6013,0.5842,0.5958,20038354.0
2024-11-15 03:00:00,0.5958,0.5992,0.5896,0.5943,11309294.3
2024-11-15 04:00:00,0.5942,0.6037,0.5764,0.591,28635980.6
2024-11-15 05:00:00,0.591,0.605,0.5797,0.6033,20393924.8
2024-11-15 06:00:00,0.6034,0.6282,0.5922,0.5962,55777258.7
2024-11-15 07:00:00,0.5962,0.598,0.5876,0.5897,13788813.7
2024-11-15 08:00:00,0.5898,0.5952,0.5832,0.5929,12103618.8
2024-11-15 09:00:00,0.5929,0.6287,0.5916,0.6213,30173290.7
2024-11-15 10:00:00,0.6212,0.6299,0.6067,0.6126,36428522.4
2024-11-15 11:00:00,0.6125,0.6156,0.607,0.6135,15105701.2
2024-11-15 12:00:00,0.6136,0.6526,0.6134,0.6523,53183600.7
2024-11-15 13:00:00,0.6524,0.6965,0.6419,0.658,168086901.3
2024-11-15 14:00:00,0.658,0.6837,0.6547,0.6647,60288249.9
2024-11-15 15:00:00,0.6645,0.6705,0.637,0.6472,58174691.9
2024-11-15 16:00:00,0.6472,0.6687,0.6415,0.6635,36577885.3
2024-11-15 17:00:00,0.6635,0.6814,0.6593,0.666,33646341.9
2024-11-15 18:00:00,0.6659,0.6746,0.6606,0.6702,24434608.0
